id,alpha2,alpha3,name,continent
84,bz,blz,ベリーズ,北アメリカ
604,pe,per,ペルー,南アメリカ
56,be,bel,ベルギー,ヨーロッパ
616,pl,pol,ポーランド,ヨーロッパ
70,ba,bih,ボスニア・ヘルツェゴビナ,ヨーロッパ
72,bw,bwa,ボツワナ,アフリカ
68,bo,bol,ボリビア多民族国,南アメリカ
620,pt,prt,ポルトガル,ヨーロッパ
340,hn,hnd,ホンジュラス,北アメリカ
584,mh,mhl,マーシャル諸島,オセアニア
450,mg,mdg,マダガスカル,アフリカ
454,mw,mwi,マラウイ,アフリカ
466,ml,mli,マリ,アフリカ
470,mt,mlt,マルタ,ヨーロッパ
458,my,mys,マレーシア,アジア
583,fm,fsm,ミクロネシア連邦,オセアニア
710,za,zaf,南アフリカ,アフリカ
728,ss,ssd,南スーダン,アフリカ
104,mm,mmr,ミャンマー,アジア
484,mx,mex,メキシコ,北アメリカ
480,mu,mus,モーリシャス,アフリカ
478,mr,mrt,モーリタニア,アフリカ
508,mz,moz,モザンビーク,アフリカ
492,mc,mco,モナコ,ヨーロッパ
462,mv,mdv,モルディブ,アジア
498,md,mda,モルドバ共和国,ヨーロッパ
504,ma,mar,モロッコ,アフリカ
496,mn,mng,モンゴル,アジア
499,me,mne,モンテネグロ,ヨーロッパ
400,jo,jor,ヨルダン,アジア
418,la,lao,ラオス人民民主共和国,アジア
428,lv,lva,ラトビア,ヨーロッパ
440,lt,ltu,リトアニア,ヨーロッパ
434,ly,lby,リビア,アフリカ
438,li,lie,リヒテンシュタイン,ヨーロッパ
430,lr,lbr,リベリア,アフリカ
642,ro,rou,ルーマニア,ヨーロッパ
442,lu,lux,ルクセンブルク,ヨーロッパ
646,rw,rwa,ルワンダ,アフリカ
426,ls,lso,レソト,アフリカ
422,lb,lbn,レバノン,アジア
643,ru,rus,ロシア連邦,ヨーロッパ/アジア
