id,name,name_short,name_export,code,code
85,オリックス,ｵﾘﾂｸｽ,オリックス銀行,307,0307
86,しんきん信託,ｼﾝｷﾝｼﾝﾀｸ,しんきん信託銀行,309,0309
87,ＧＭＯあおぞらネット銀行,ｼﾞｰｴﾑｵｰｱｵｿﾞﾗﾈﾂﾄ,ＧＭＯあおぞらネット銀行,310,0310
88,農中信託,ﾉｳﾁﾕｳｼﾝﾀｸ,農中信託銀行,311,0311
89,新生信託,ｼﾝｾｲｼﾝﾀｸ,新生信託銀行,320,0320
90,日証金信託,ﾆﾂｼﾖｳｷﾝｼﾝﾀｸ,日証金信託銀行,321,0321
91,新銀行東京,ｼﾝｷﾞﾝｺｳﾄｳｷﾖｳ,新銀行東京銀行,322,0322
92,日本トラスティ・サービス信託,ﾆﾎﾝﾄﾗｽﾃｲｻ-ﾋﾞｽｼﾝ,日本トラスティ・サービス信託銀行,324,0324
93,資産管理サービス信託,ｼｻﾝｶﾝﾘｻ-ﾋﾞｽｼﾝﾀｸ,資産管理サービス信託銀行,325,0325
94,SBI新生銀行,ｴｽﾋﾞ-ｱｲｼﾝｾｲ,SBI新生銀行,397,0397
95,あおぞら,ｱｵｿﾞﾗ,あおぞら銀行,398,0398
96,シティバンク,ｼﾃｲﾊﾞﾝｸ,シティバンク銀行,401,0401
97,ＪＰモルガン,ｼﾞｴ-ﾋﾟ-ﾓﾙｶﾞﾝ,ＪＰモルガン銀行,402,0402
98,アメリカ,ｱﾒﾘｶ,アメリカ銀行,403,0403
99,香港上海,ﾎﾝｺﾝｼﾔﾝﾊｲ,香港上海銀行,411,0411
100,スタンダードチャータード,ｽﾀﾝﾀﾞ-ﾄﾞﾁﾔ-ﾀ-ﾄﾞ,スタンダードチャータード銀行,413,0413
101,バークレイズ,ﾊﾞ-ｸﾚｲｽﾞ,バークレイズ銀行,414,0414
102,クレディ・アグリコル,ｸﾚﾃﾞｲ.ｱｸﾞﾘｺﾙ,クレディ・アグリコル銀行,421,0421
103,韓国外換,ｶﾝｺｸｶﾞｲｶﾝ,韓国外換銀行,423,0423
104,印度,ｲﾝﾄﾞ,印度銀行,424,0424
105,兆豊國際商業,ﾁﾖｳﾎｳｺｸｻｲｼﾖｳ,兆豊國際商業銀行,425,0425
106,バンコック,ﾊﾞﾝｺﾂｸ,バンコック銀行,426,0426
107,バンクネガラインドネシア,ﾊﾞﾝｸﾈｶﾞﾗｲﾝﾄﾞﾈｼｱ,バンクネガラインドネシア銀行,429,0429
108,ドイツ,ﾄﾞｲﾂ,ドイツ銀行,430,0430
109,ブラジル,ﾌﾞﾗｼﾞﾙ,ブラジル銀行,432,0432
110,ニューヨークメロン,ﾆﾕ-ﾖ-ｸﾒﾛﾝ,ニューヨークメロン銀行,442,0442
111,オーバーシー・チャイニーズ,ｵ-ﾊﾞ-ｼ-.ﾁﾔｲﾆ-ｽﾞ,オーバーシー・チャイニーズ銀行,444,0444
112,ユバフーアラブ・フランス連合,ﾕﾊﾞﾌ-ｱﾗﾌﾞ.ﾌﾗﾝｽﾚ,ユバフーアラブ・フランス連合銀行,456,0456
113,ポーティゴン・アーゲー,ﾎﾟ-ﾃｲｺﾞﾝ.ｱ-ｹﾞ-,ポーティゴン・アーゲー銀行,457,0457
114,ＤＢＳ,ﾃﾞｲ-ﾋﾞ-ｴｽ,ＤＢＳ銀行,458,0458
115,コメルツ,ｺﾒﾙﾂ,コメルツ銀行,461,0461
116,インドステイト,ｲﾝﾄﾞｽﾃｲﾄ,インドステイト銀行,468,0468
117,カナダロイヤル,ｶﾅﾀﾞﾛｲﾔﾙ,カナダロイヤル銀行,471,0471
118,ＳＢＪ,ｴｽﾋﾞ-ｼﾞｴ-,ＳＢＪ銀行,472,0472
119,ウリィ,ｳﾘｲ,ウリィ銀行,477,0477
120,ハナ,ﾊﾅ,ハナ銀行,480,0480
121,中國,ﾁﾕｳｺﾞｸ,中國銀行,489,0489
122,中小企業,ﾁﾕｳｼﾖｳｷｷﾞﾖｳ,中小企業銀行,498,0498
123,北洋,ﾎｸﾖｳ,北洋銀行,501,0501
124,きらやか,ｷﾗﾔｶ,きらやか銀行,508,0508
125,北日本,ｷﾀﾆﾂﾎﾟﾝ,北日本銀行,509,0509
126,仙台,ｾﾝﾀﾞｲ,仙台銀行,512,0512
127,福島,ﾌｸｼﾏ,福島銀行,513,0513
128,大東,ﾀﾞｲﾄｳ,大東銀行,514,0514
129,東和,ﾄｳﾜ,東和銀行,516,0516
130,栃木,ﾄﾁｷﾞ,栃木銀行,517,0517
131,京葉,ｹｲﾖｳ,京葉銀行,522,0522
132,東日本,ﾋｶﾞｼﾆﾂﾎﾟﾝ,東日本銀行,525,0525
133,東京スター,ﾄｳｷﾖｳｽﾀ-,東京スター銀行,526,0526
134,神奈川,ｶﾅｶﾞﾜ,神奈川銀行,530,0530
135,大光,ﾀｲｺｳ,大光銀行,532,0532
136,長野,ﾅｶﾞﾉ,長野銀行,533,0533
137,富山第一,ﾄﾔﾏﾀﾞｲｲﾁ,富山第一銀行,534,0534
138,福邦,ﾌｸﾎｳ,福邦銀行,537,0537
139,静岡中央,ｼｽﾞｵｶﾁﾕｳｵｳ,静岡中央銀行,538,0538
140,あいち,ｱｲﾁ,あいち銀行,542,0542
141,名古屋,ﾅｺﾞﾔ,名古屋銀行,543,0543
142,中京,ﾁﾕｳｷﾖｳ,中京銀行,544,0544
143,第三,ﾀﾞｲｻﾝ,第三銀行,546,0546
144,関西アーバン,ｶﾝｻｲｱ-ﾊﾞﾝ,関西アーバン銀行,554,0554
145,大正,ﾀｲｼﾖｳ,大正銀行,555,0555
146,みなと,ﾐﾅﾄ,みなと銀行,562,0562
147,島根,ｼﾏﾈ,島根銀行,565,0565
148,トマト,ﾄﾏﾄ,トマト銀行,566,0566
149,もみじ,ﾓﾐｼﾞ,もみじ銀行,569,0569
150,西京,ｻｲｷﾖｳ,西京銀行,570,0570
151,徳島大正,ﾄｸｼﾏ,徳島大正銀行,572,0572
152,香川,ｶｶﾞﾜ,香川銀行,573,0573
153,愛媛,ｴﾋﾒ,愛媛銀行,576,0576
154,高知,ｺｳﾁ,高知銀行,578,0578
155,福岡中央,ﾌｸｵｶﾁﾕｳｵｳ,福岡中央銀行,582,0582
156,佐賀共栄,ｻｶﾞｷﾖｳｴｲ,佐賀共栄銀行,583,0583
157,長崎,ﾅｶﾞｻｷ,長崎銀行,585,0585
158,熊本,ｸﾏﾓﾄ,熊本銀行,587,0587
159,豊和,ﾎｳﾜ,豊和銀行,590,0590
